City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Bambous Virieux,MU,-20.3428,57.7575,297.29,83,75,2.06,broken clouds
232,Piaçabuçu,BR,-10.4056,-36.4344,298.98,83,15,5.66,few clouds
233,Weatherford,US,32.7593,-97.7972,295.9,29,8,4.63,clear sky
234,Ketchikan,US,55.3422,-131.6461,280.41,70,100,3.09,moderate rain
235,George Town,MY,5.4112,100.3354,298.12,93,20,0.0,few clouds
236,Dikson,RU,73.5069,80.5464,237.58,99,28,2.1,scattered clouds
237,Kortenberg,BE,50.887,4.5398,285.4,88,75,8.75,broken clouds
238,Bethel,US,41.3712,-73.414,277.35,71,100,1.54,overcast clouds
239,Pemangkat,ID,1.1667,108.9667,298.15,87,92,1.64,overcast clouds
240,Bucerías,MX,20.75,-105.3333,297.58,78,0,3.6,clear sky
241,Agutaya,PH,11.148,120.9417,299.32,78,99,11.95,overcast clouds
242,Urrao,CO,6.3152,-76.1342,287.12,97,100,0.23,overcast clouds
243,Lakes Entrance,AU,-37.8811,147.981,296.02,67,15,6.07,few clouds
244,Batetskiy,RU,58.6461,30.3027,269.13,95,100,5.32,snow
245,Maceió,BR,-9.6658,-35.7353,298.84,88,40,3.09,scattered clouds
246,Inhambane,MZ,-23.865,35.3833,296.17,82,6,3.02,clear sky
247,Westerland,DE,54.9079,8.3033,280.16,93,100,11.83,overcast clouds
248,Coyhaique,CL,-45.5752,-72.0662,283.49,93,100,0.51,moderate rain
249,Jadu,LY,31.953,12.0261,282.04,55,0,3.22,clear sky
250,Portland,US,45.5234,-122.6762,284.51,66,75,6.17,broken clouds
251,Āsosa,ET,10.0667,34.5333,290.14,29,10,2.65,clear sky
252,Kamenka,RU,51.3223,42.7678,254.97,81,1,5.26,clear sky
253,Riyadh,SA,24.6877,46.7219,281.23,74,21,4.86,few clouds
254,Negombo,LK,7.2083,79.8358,294.18,88,0,3.6,clear sky
255,Wattegama,LK,6.7989,81.4808,291.5,93,1,2.25,clear sky
256,Iqaluit,CA,63.7506,-68.5145,246.0,69,40,5.14,scattered clouds
257,Terrace,CA,54.5163,-128.6035,277.1,75,75,9.26,broken clouds
258,Shache,CN,38.4167,77.2406,272.43,45,61,0.16,broken clouds
259,Den Helder,NL,52.9599,4.7593,284.83,89,100,14.4,overcast clouds
260,Kasangulu,CD,-4.5911,15.1708,294.09,95,97,0.89,light rain
261,Pundaguitan,PH,6.3711,126.1689,299.84,77,100,1.28,overcast clouds
262,Sobolevo,RU,54.4299,31.8996,264.83,76,100,7.37,overcast clouds
263,Saldanha,ZA,-33.0117,17.9442,289.18,87,73,5.04,broken clouds
264,Arman',RU,59.7,150.1667,244.5,85,10,2.83,clear sky
265,Mandera,KE,3.9366,41.867,300.28,34,25,5.11,scattered clouds
266,Cubarral,CO,3.7935,-73.8406,295.33,90,95,2.56,overcast clouds
267,Neryungri,RU,56.6709,124.6491,251.54,95,100,1.16,overcast clouds
268,Alexandria,EG,31.2156,29.9553,287.97,68,2,3.88,clear sky
269,Kibakwe,TZ,-6.7167,36.3667,290.06,94,99,1.05,overcast clouds
270,Atar,MR,20.5169,-13.0499,294.27,11,96,7.95,overcast clouds
271,Uglovskoye,RU,51.3557,80.1942,246.45,95,61,3.71,broken clouds
272,Tonekābon,IR,36.8163,50.8738,277.12,86,99,1.84,light rain
273,Puteyets,RU,65.1716,57.091,254.01,87,100,5.51,overcast clouds
274,Klamath Falls,US,42.2249,-121.7817,278.42,73,0,2.24,clear sky
275,Tacna,PE,-18.0056,-70.2483,292.26,64,0,4.12,clear sky
276,Augusto Corrêa,BR,-1.0217,-46.635,297.31,91,82,1.46,broken clouds
277,Wellington,NZ,-41.2866,174.7756,290.41,92,75,10.8,broken clouds
278,Cidreira,BR,-30.1811,-50.2056,294.23,82,85,3.97,overcast clouds
279,Luba,GQ,3.4568,8.5547,299.09,81,92,2.62,overcast clouds
280,Ribeira Grande,PT,38.5167,-28.7,285.8,73,45,0.45,scattered clouds
281,Buchanan,LR,5.8808,-10.0467,298.78,89,6,2.6,clear sky
282,Henties Bay,NA,-22.116,14.2845,291.1,91,99,2.1,overcast clouds
283,Neiafu,TO,-18.65,-173.9833,302.53,84,75,4.12,moderate rain
284,Ambo,PE,-10.1308,-76.2047,290.54,84,91,2.78,overcast clouds
285,Geraldton,AU,-28.7667,114.6,295.38,60,40,6.17,scattered clouds
286,Beira,MZ,-19.8436,34.8389,298.2,83,20,1.87,few clouds
287,Togur,RU,58.3631,82.8265,235.83,100,80,1.78,broken clouds
288,Oranjemund,NA,-28.55,16.4333,290.01,85,41,2.94,scattered clouds
